ID,plant_name,breakdowns,L3,L4,ind
"Safety, QA and Services:Environmental",Baltimore,0,"Safety, QA and Services",Environmental,10
"Safety, QA and Services:Environmental",Chalmette,0,"Safety, QA and Services",Environmental,10
"Safety, QA and Services:Environmental",Crockett,0.2544,"Safety, QA and Services",Environmental,10
"Safety, QA and Services:Environmental",Toronto,1.0769,"Safety, QA and Services",Environmental,10
"Safety, QA and Services:Environmental",Yonkers,0,"Safety, QA and Services",Environmental,10
"Safety, QA and Services:Fire protection",Baltimore,2.6216,"Safety, QA and Services",Fire protection,10
"Safety, QA and Services:Fire protection",Chalmette,1.4244,"Safety, QA and Services",Fire protection,10
"Safety, QA and Services:Fire protection",Crockett,0.8564,"Safety, QA and Services",Fire protection,10
"Safety, QA and Services:Fire protection",Toronto,2.1904,"Safety, QA and Services",Fire protection,10
"Safety, QA and Services:Fire protection",Yonkers,1.2966,"Safety, QA and Services",Fire protection,10
"Safety, QA and Services:Lab",Baltimore,0.6675,"Safety, QA and Services",Lab,10
"Safety, QA and Services:Lab",Chalmette,3.2543,"Safety, QA and Services",Lab,10
"Safety, QA and Services:Lab",Crockett,1.5294,"Safety, QA and Services",Lab,10
"Safety, QA and Services:Lab",Toronto,2.3148,"Safety, QA and Services",Lab,10
"Safety, QA and Services:Lab",Yonkers,0,"Safety, QA and Services",Lab,10
"Safety, QA and Services:Safety Equipment",Baltimore,0.2103,"Safety, QA and Services",Safety Equipment,10
"Safety, QA and Services:Safety Equipment",Chalmette,0,"Safety, QA and Services",Safety Equipment,10
"Safety, QA and Services:Safety Equipment",Crockett,0,"Safety, QA and Services",Safety Equipment,10
"Safety, QA and Services:Safety Equipment",Toronto,0.2581,"Safety, QA and Services",Safety Equipment,10
"Safety, QA and Services:Safety Equipment",Yonkers,0.5119,"Safety, QA and Services",Safety Equipment,10
"Safety, QA and Services:Sanitation",Baltimore,0.9296,"Safety, QA and Services",Sanitation,10
"Safety, QA and Services:Sanitation",Chalmette,0.7394,"Safety, QA and Services",Sanitation,10
"Safety, QA and Services:Sanitation",Crockett,0,"Safety, QA and Services",Sanitation,10
"Safety, QA and Services:Sanitation",Toronto,4.3346,"Safety, QA and Services",Sanitation,10
"Safety, QA and Services:Sanitation",Yonkers,0,"Safety, QA and Services",Sanitation,10
"Safety, QA and Services:Security ",Baltimore,0,"Safety, QA and Services",Security ,10
"Safety, QA and Services:Security ",Chalmette,0,"Safety, QA and Services",Security ,10
"Safety, QA and Services:Security ",Crockett,0,"Safety, QA and Services",Security ,10
"Safety, QA and Services:Security ",Toronto,0.4168,"Safety, QA and Services",Security ,10
"Safety, QA and Services:Security ",Yonkers,0.8409,"Safety, QA and Services",Security ,10
